name,red,rmax,rmin,rdelta,rresult,r_values,r_time,blue,bmax,bmin,bdelta,bresult,b_values,b_time
SN2016fbk,[17.091],17.091,20.861,3.7699999999999996,0.22058393306418578,[77.48071114058358],[57626.43],[17.472],17.472,21.626,4.154,0.2377518315018315,[73.488392874338],[57626.43]
SN2005cc,"[15.993, 15.941, 15.931, 15.941, 15.912]",15.912,17.907,1.9949999999999992,0.12537707390648561,"[127.55920601503766, 127.1444571428572, 127.06469774436094, 127.1444571428572, 126.91315488721811]","[53518.29, 53520.29, 53521.3, 53522.28, 53523.31]",[16.679],16.679,19.013,2.334000000000003,0.1399364470291986,[119.18982047986272],[53518.29]
SN2018cvw,"[16.5403, 16.5025, 15.4038]",15.4038,16.7322,1.3283999999999985,0.086238461,"[191.7972546973805, 191.35893518518543, 178.61867994579967]","[58322.0301, 58328.0022, 58334.0248]",[17.6324],17.6324,19.3754,1.7429999999999986,0.098852113,[178.37150301778559],[58322.021]
SN2009kq,"[14.778, 14.69, 14.62]",14.62,19.315,4.695000000000002,0.32113543091655283,"[46.01796805111819, 45.74394036208731, 45.52596379126728]","[55150.53, 55152.48, 55154.56]","[14.7914, 14.849, 14.7388, 14.8, 14.6631, 14.708, 14.6581]",14.6581,19.207,4.5489000000000015,0.3103335357242754,"[47.662911987513446, 47.84851874079446, 47.493416931565854, 47.69062410692693, 47.249485833937854, 47.39416887599198, 47.23337413660443]","[55150.51862, 55150.53, 55151.52664, 55152.48, 55153.51485, 55154.56, 55155.50829]"
SN2009ig,"[16.876, 16.208, 15.157, 14.772, 14.48, 14.24, 13.993, 13.874, 13.833, 13.815, 13.705, 13.631, 13.621]",13.621,18.29,4.668999999999999,0.34277953160560887,"[49.23281130863142, 47.2840368387235, 44.2179261083744, 43.09475519383167, 42.24289569500966, 41.54273720282717, 40.82215742128937, 40.47499550224889, 40.35538509316771, 40.30287320625403, 39.98196723067039, 39.76608502891413, 39.73691175840652]","[55064.52, 55065.47, 55067.53, 55068.51, 55069.5, 55071.44, 55072.46, 55073.5, 55074.44, 55075.53, 55076.51, 55077.44, 55080.51]","[17.436, 17.043, 17.09, 16.618, 16.071, 16.12, 15.241, 14.95, 14.865, 14.846, 14.556, 14.285, 14.37, 14.164, 14.02, 13.99, 13.907, 13.898, 13.809, 13.683, 13.75, 13.754, 13.69, 13.629, 13.695, 13.647, 13.5796, 13.548]",13.548,18.3831,4.835099999999999,0.35688662533215226,"[48.85585158528263, 47.75466153750699, 47.88635602159212, 46.56380716014147, 45.03110752621457, 45.168406030899064, 42.70543897747721, 41.890053980269286, 41.651883104796184, 41.598644909102205, 40.78606192219396, 40.026717130979726, 40.26488800645282, 39.68767388471801, 39.28418440156358, 39.20012409257307, 38.96755723769933, 38.94233914500218, 38.69296022833034, 38.339906930570216, 38.527641620649014, 38.53884966184775, 38.359521002668, 38.188598374387304, 38.37353105416642, 38.23903455978161, 38.05017906558293, 37.96163554011294]","[55064.52, 55064.8383, 55064.83999999985, 55065.47, 55066.0853, 55066.08999999985, 55067.53, 55068.08999999985, 55068.0927, 55068.51, 55069.5, 55070.0352, 55070.04000000004, 55071.44, 55072.46, 55072.5, 55072.5005, 55073.5, 55074.44, 55074.6458, 55074.64999999991, 55075.53, 55076.12000000011, 55076.1233, 55076.51, 55077.44, 55078.49587, 55078.8687]"
SN2003gn,"[18.371, 17.709, 17.489, 17.449, 17.389, 17.245, 17.251, 17.264, 17.242]",17.242,20.555,3.312999999999999,0.19214708270502254,"[95.60904980380322, 92.16377241171146, 91.01881617869005, 90.81064231814071, 90.49838152731667, 89.74895562933901, 89.78018170842141, 89.84783821309993, 89.73334258979781]","[52843.44, 52846.42, 52847.36, 52848.32, 52849.38, 52852.42, 52853.4, 52854.35, 52855.35]","[18.548, 17.931, 17.735, 17.597, 17.512, 17.472]",17.472,21.571,4.099,0.23460393772893773,"[79.06090656257624, 76.43094218101977, 75.595491583313, 75.00726616247866, 74.64495340326908, 74.47445328128812]","[52843.44, 52846.42, 52848.32, 52849.38, 52852.42, 52853.4]"
SN1994T,"[17.26, 17.04]",17.04,19.39,2.3500000000000014,0.13791079812206583,"[125.1533617021276, 123.55812765957437]","[49514.3, 49515.2]",[17.47],17.47,20.35,2.8800000000000026,0.16485403548941058,[105.97253472222211],[49514.3]
SN2012ht,"[15.729, 15.22, 14.45, 13.69, 13.346, 13.206, 13.182, 13.137, 13.132, 13.11]",13.11,16.343,3.2330000000000005,0.24660564454614803,"[63.78199505103617, 61.7179709248376, 58.59557686359417, 55.513733374574684, 54.11879369007113, 53.551085678935955, 53.45376430559851, 53.271286730590774, 53.2510114444788, 53.16180018558613]","[56282.0, 56283.0, 56285.07, 56288.06, 56290.1, 56292.1, 56293.0, 56294.0, 56295.0, 56296.06]","[15.987, 15.737, 15.633, 15.37, 15.258, 14.405, 14.093, 13.755, 13.501, 13.411, 13.351, 13.382, 13.314, 13.277, 13.198, 13.21, 13.132, 13.13, 13.116, 13.111]",13.111,17.787,4.675999999999998,0.3566470902295781,"[44.82582485029942, 44.1248517964072, 43.833247005988035, 43.09582335329343, 42.781787425149716, 40.39006736526947, 39.51525299401199, 38.567537425149716, 37.85534880239522, 37.602998502994026, 37.4347649700599, 37.52168562874253, 37.33102095808385, 37.2272769461078, 37.00576946107786, 37.03941616766468, 36.82071257485031, 36.81510479041918, 36.77585029940121, 36.76183083832337]","[56282.0, 56282.348, 56282.7837, 56283.0, 56283.335, 56285.327, 56286.342, 56287.7953, 56289.325, 56289.9314, 56290.1, 56290.315, 56291.0884, 56291.32, 56292.1, 56292.326, 56293.0, 56294.0, 56295.0, 56295.307]"
PS15bom,"[15.9715, 16.0567, 16.0143, 15.9081]",15.9081,17.7626,1.8544999999999998,0.11657583243756325,"[137.00524084658937, 137.73609558910758, 137.37238383930978, 136.461388843354]","[57240.0102, 57240.0116, 57240.013, 57241.0073]","[16.0754, 16.0479, 16.0247, 15.9627]",15.9627,18.8807,2.918000000000001,0.18280115519304385,"[87.93926921864286, 87.78883253255651, 87.66191867374911, 87.32275232693623]","[57240.0015, 57240.0029, 57240.0044, 57240.9987]"
SN1998dm,"[15.717, 15.415, 15.173, 14.939, 14.773, 14.562, 14.469, 14.422, 14.388, 14.379, 14.371]",14.371,18.759,4.388,0.3053371372903764,"[51.47424954421149, 50.4851788969918, 49.69261235186874, 48.92624635369189, 48.38258500455789, 47.69154557885141, 47.38696422060164, 47.23303600729262, 47.12168368277119, 47.0922080674567, 47.06600752051049]","[51048.44, 51049.38, 51050.4, 51051.4, 51052.44, 51054.42, 51055.4, 51056.42, 51057.35, 51058.35, 51059.37]","[16.332, 16.049, 15.681, 15.53, 15.314, 15.075, 14.985, 14.954, 14.893, 14.809]",14.809,19.317,4.508000000000001,0.3044094807211831,"[53.65141703637976, 52.72174822537709, 51.51285026619342, 51.016807897071864, 50.30723735581188, 49.52211069210291, 49.226456299911256, 49.12461978704525, 48.92423181011534, 48.648287710736454]","[51048.44, 51049.38, 51050.4, 51051.4, 51052.44, 51054.42, 51055.4, 51056.42, 51057.35, 51058.35]"
SN2013dh,"[18.309, 18.094, 17.942, 17.85, 17.874, 17.364]",17.364,19.462,2.097999999999999,0.12082469477079008,"[151.53359199237377, 149.75415443279323, 148.49613346043859, 147.73469971401343, 147.93333460438518, 143.71234318398484]","[56456.32, 56457.3, 56458.32, 56459.26, 56463.26, 56470.29]","[18.392, 18.365, 18.157, 17.672, 17.843, 17.525, 17.546, 17.504]",17.504,20.648,3.1439999999999984,0.179616088,"[102.39617302798989, 102.24585241730286, 101.08782697201023, 98.38762340966926, 99.33965394402043, 97.56921119592882, 97.68612722646316, 97.45229516539447]","[56455.34, 56456.32, 56457.3, 56458.32, 56459.26, 56460.8856, 56463.26, 56463.425]"
SN2009nr,"[13.73, 13.71]",13.71,19.43,5.719999999999999,0.4172137126185265,"[32.908793706293714, 32.860856643356655]","[55196.08, 55196.11]",[14.9],14.9,18.37,3.4700000000000006,0.2328859060402685,[63.97982708933717],[55207.59]
SN1999dk,"[15.628, 15.442, 15.072, 15.003, 14.948, 14.919, 14.898, 14.92, 14.819]",14.819,17.245,2.426,0.1637087522774816,"[95.46221434460017, 94.32605028854081, 92.06593899422917, 91.64445877988459, 91.30849629018961, 91.13135243198681, 91.00307584501236, 91.13746084089036, 90.52051154163232]","[51405.42, 51406.42, 51409.42, 51410.44, 51411.43, 51412.42, 51413.4, 51415.17, 51415.37]","[15.884, 15.684, 15.16, 15.136, 15.076, 15.082, 15.059, 15.06, 15.063, 15.004]",15.004,18.333,3.328999999999999,0.22187416688882958,"[71.59012796635629, 70.68871613097028, 68.32701712225895, 68.21884770201264, 67.94842415139684, 67.97546650645842, 67.87180414538902, 67.87631120456597, 67.88983238209676, 67.62391589065787]","[51405.42, 51406.42, 51409.42, 51410.44, 51411.43, 51412.42, 51413.4, 51415.17, 51415.37, 51416.35]"
SN2006ac,[15.987],15.987,18.96,2.9730000000000008,0.18596359542127983,[85.96843895055497],[53782.52],"[16.378, 16.274, 16.174]",16.174,20.058,3.8840000000000003,0.2401384938790652,"[68.20230998970132, 67.76922657054583, 67.35280020597321]","[53776.99526, 53780.94501, 53782.52]"
SN2012gl,[17.194],17.194,19.472,2.2780000000000022,0.13248807723624534,[129.77771553994717],[56245.5],"[17.768, 17.667]",17.667,19.182,1.514999999999997,0.085753099,"[207.1995089108915, 206.02170891089153]","[56245.5, 56256.51]"
